S.No.,States/UT,"Ward with 100% door to door collection, (Nos.)",Total Wards,Total waste generation (MT/D),Total waste processing - %
1,Andhra Pradesh,3409,3409,6141,48
2,Andaman and Nicobar,24,24,100,65
3,Arunachal Pradesh,75,75,181,0
4,Assam,662,934,1134,49
5,Bihar,2970,3377,2272,51
6,Chandigarh,26,26,479,87
7,Chhattisgarh,3217,3217,1650,90
8,Dadra and Nagar Haveli and Daman and Diu,43,43,81,50
9,Delhi,254,294,10500,55
10,Goa,214,214,250,68
11,Gujarat,1420,1420,10721,82
12,Haryana,1370,1496,4700,47
13,Himachal Pradesh,486,497,377,78
14,Jammu and Kashmir,570,1107,1452,9
15,Jharkhand,894,929,2135,59
16,Karnataka,6256,6464,10000,41
17,Kerala,3022,3536,2696,66
18,Madhya Pradesh,6999,6999,6424,84
19,Maharashtra,6589,7322,23450,57
20,Manipur,210,306,174,50
21,Meghalaya,27,114,268,4
22,Mizoram,264,328,236,35
23,Nagaland,104,234,461,50
24,Odisha,1840,2024,2721,31
25,Puducherry,122,122,406,13
26,Punjab,3022,3123,4100,57
27,Rajasthan,5389,5389,6500,70
28,Sikkim,53,53,89,70
29,Tamil Nadu,12301,12814,15437,62
30,Telangana,2020,2112,8634,78
31,Tripura,218,310,450,35
32,Uttar Pradesh,11675,12007,15500,58
33,Uttarakhand,1139,1170,1541,40
34,West Bengal,2312,2938,7700,9
35,Lakshadweep,NA,NA,NA,NA
Total/Average,Total/Average,79196,84427,148960,57
