Sl. No.,State/UT,Solid waste generated (TPD),Collected (TPD),Treated (TPD)
1,Andhra Pradesh,6898,6829,1133
2,Arunachal Pradesh,236.51,202.11,NA
3,Assam,1199,1091,41.4
4,Bihar,4281.27,4013.55,NA
5,Chhattisgarh,1650,1650,1650
6,Goa,226.87,218.87,197.47
7,Gujarat,10373.79,10332,6946
8,Haryana,5352.12,5291.41,3123.9
9,Himachal Pradesh,346,332,221
10,Jammu and Kashmir,1463.23,1437.28,547.5
11,Jharkhand,2226.39,1851.65,758.26
12,Karnataka,11085,10198,6817
13,Kerala,3543,964.76,2550
14,Madhya Pradesh,8022.5,7235.5,6472
15,Maharashtra,22632.71,22584.4,15056.1
16,Manipur,282.3,190.3,108.6
17,Meghalaya,107.01,93.02,9.64
18,Mizoram,345.47,275.92,269.71
19,Nagaland,330.49,285.49,122
20,Odisha,2132.95,2097.14,1038.31
21,Punjab,4338.37,4278.86,1894.04
22,Rajasthan,6897.16,6720.48,1210.46
23,Sikkim,71.9,71.9,20.35
24,Tamil Nadu,13422,12844,9430.35
25,Telangana,9965,9965,7530
26,Tripura,333.9,317.69,214.06
27,Uttarakhand,1458.46,1378.99,779.85
28,Uttar Pradesh,14710,14292,5520
29,West Bengal,13709,13356,667.6
30,Andaman and Nicobar,89,82,75
31,Chandigarh,513,513,69
32,Dadra and Nagar Haveli and Daman and Diu,267,267,237
33,Delhi,10990,10990,5193.57
34,Lakshadweep,35,17.13,17.13
35,Puducherry,504.5,482,36
Total,Total,160038.9,152749.5,79956.3
