Sl. No.,State/UT,Solid Waste Management - Total waste generation MetricTonnes per day (MT/D),Solid Waste Management - Total wasteprocessing
1,Andhra Pradesh,6141,64
2,Andaman and Nicobar,90,95
3,Arunachal Pradesh,199,25
4,Assam,1011,63
5,Bihar,2272,58
6,Chandigarh,499,92
7,Chhattisgarh,1650,93
8,Dadra and Nagar Haveli and Daman and Diu,121,93
9,Delhi,10650,55
10,Goa,250,98
11,Gujarat,9073,87
12,Haryana,5463,53
13,Himachal Pradesh,377,98
14,Jammu and Kashmir,1359,17
15,Jharkhand,1846,64
16,Karnataka,10000,64
17,Kerala,2696,75
18,Ladakh,50,50
19,Madhya Pradesh,6424,90
20,Maharashtra,18825,83
21,Manipur,185,70
22,Meghalaya,129,65
23,Mizoram,236,80
24,Nagaland,361,68
25,Odisha,2102,80
26,Puducherry,322,13
27,Punjab,4108,76
28,Rajasthan,6523,77
29,Sikkim,75,71
30,Tamil Nadu,15437,70
31,Telangana,8801,78
32,Tripura,266,63
33,Uttar Pradesh,14100,68
34,Uttarakhand,1639,56
35,West Bengal,7700,9
Total/Average,Total/Average,140980,68
