Sl. No.,States/UT,"Municipal Solid Waste Management - Ward with 100% door to door collection, Nos.",Municipal Solid Waste Management - Total Wards (Nos.),Municipal Solid Waste Management - Total waste generation (MT/D),Municipal Solid Waste Management - Total waste processing
1,Andhra Pradesh,3563,3774,6257,75%
2,Andaman and Nicobar,24,24,53,87%
3,Arunachal Pradesh,406,436,201,26%
4,Assam,853,943,1274,64%
5,Bihar,3392,3406,5045,25%
6,Chandigarh,26,26,508,95%
7,Chhattisgarh,3255,3255,1657,100%
8,Dadra and Nagar Haveli and Daman and Diu,43,43,114,76%
9,Delhi,291,293,11143,90%
10,Goa,226,226,128,87%
11,Gujarat,1385,1385,9515,92%
12,Haryana,1609,1628,5383,87%
13,Himachal Pradesh,535,544,245,98%
14,Jammu and Kashmir,925,1099,412,36%
15,Jharkhand,923,940,2042,66%
16,Karnataka,6682,6766,6158,66%
17,Kerala,3162,3533,2229,91%
18,Ladakh,26,26,3,73%
19,Madhya Pradesh,7357,7591,6966,93%
20,Maharashtra,6500,6519,22771,91%
21,Manipur,238,305,31,13%
22,Meghalaya,38,123,7,0%
23,Mizoram,195,195,289,28%
24,Nagaland,189,232,128,3%
25,Odisha,2025,2025,2550,61%
26,Puducherry,126,126,277,0%
27,Punjab,3132,3174,3724,61%
28,Rajasthan,7550,7670,6300,37%
29,Sikkim,51,51,72,28%
30,Tamil Nadu,12621,12834,14152,48%
31,Telangana,3625,3625,10415,93%
32,Tripura,334,334,316,60%
33,Uttar Pradesh,12058,12358,15751,79%
34,Uttarakhand,1203,1203,1582,65%
35,West Bengal,2527,2938,7876,10%
Total/Average,Total/Average,87095,89650,145573,72%
